Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
25,2,R4 R5,10,~,r_0402_nordic,-55℃~+155℃ 10Ω 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,,,
26,1,R2,47,~,r_0402_nordic,-55℃~+155℃ 47Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,,,
27,5,R28 R29 R31 R32 R45,100,~,r_0402_nordic,62.5mW Thick Film Resistors 50V ±1% ±200ppm/°C 100Ω 0402 Chip Resistor - Surface Mount ROHS,,,
28,1,R46,1k,~,r_0402_nordic,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,,,
29,11,R7 R8 R21 R22 R30 R34 R35 R36 R40 R41 R42,5.1k,~,r_0402_nordic,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,,,
30,1,R52,30k,~,r_0603_nordic,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 30kΩ 0603 Chip Resistor - Surface Mount ROHS,,,
31,1,R51,47k,~,r_0402_nordic,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 47kΩ 0402 Chip Resistor - Surface Mount ROHS,,,
32,5,R19 R23 R37 R38 R39,100k,~,r_0402_nordic,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,,,
33,3,R10 R11 R48,300k,~,r_0402_nordic,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 300kΩ 0402 Chip Resistor - Surface Mount ROHS,,0402WGF3003TCE,
34,5,R18 R20 R24 R26 R27,1Meg,~,r_0402_nordic,-55℃~+155℃ 1MΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,,,
35,4,SW1 SW2 SW3 SW4,ZX-QC66-8.5TP,https://www.lcsc.com/datasheet/C7470159.pdf,KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5,,Megastar(兆星),,
36,1,U5,${ALTIUM_VALUE},,Nordic_QFN50P500X500X90-33N,"Li-Ion/Li-Polymer USB-C battery charger with high efficiency buck regulators, LDOs or load switches, LED drivers, TWI and VBUSOUT",Nordic Semiconductor,nPM1300-QEAA,
37,1,U12,ADS1115IDGS,http://www.ti.com/lit/ds/symlink/ads1115.pdf,TSSOP-10_3x3mm_P0.5mm,"Ultra-Small, Low-Power, I2C-Compatible, 860-SPS, 16-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",,,
38,1,U2,AP3019AKTR,https://www.diodes.com/assets/Datasheets/AP3019A.pdf,SOT-23-6,"1.2MHz White LED Boost Drivers with Built-in Schottky, 2.5..16Vin, <30Vout, SOT-23-6",,,
39,1,U11,LIS2DW12TR,https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_STMicroelectronics_LIS2DW12TR_LIS2DW12TR_C189624.html,LGA-12_L2.0-W2.0-P0.50-BL,,ST(意法半导体),,
40,1,U14,LMP91000SDX/NOPB,,WSON-14_L4.0-W4.0-P0.50-BL-EP-1,,,,
41,1,U7,MAX98357AETE+T,https://www.lcsc.com/datasheet/C910544.pdf,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,,ADI(亚德诺)/MAXIM(美信),,
42,1,U1,ME54BS13_V1.0,,ME54BS13_V1.0,ME54BS13_GBR_V1.0，ME54BS13_V1.0，16.5*12.0*1.0mm，110.0*77.5*1.0mm，7*3 有工艺边（工艺边需铺实铜），8层三阶HDI（3+2+3）板， 板材材质 FR-4，铜厚1OZ，沉金，过孔塞孔工艺，盘中孔电镀填平，绿油白字，全测,,,
43,1,U10,MF-NSMF200-2,https://lcsc.com/product-detail/Surface-Mount-Fuses_BOURNS_MF-NSMF200-2_2-0A-6V-Self-healing-fuse_C89656.html,F1206,,BOURNS,,
44,2,U4 U6,MT9700-N,https://www.lcsc.com/datasheet/C42441843.pdf,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,,西安航天民芯,,
45,1,U13,OPA333xxDBV,http://www.ti.com/lit/ds/symlink/opa333.pdf,SOT-23-5,"Single 1.8V, microPower, CMOS Operational Amplifiers, Zero-Drift Series, SOT-23-5",,,
46,1,U9,W25Q128JVPIQTR,https://lcsc.com/product-detail/Others_Winbond-Elec-W25Q128JVPIQTR_C190862.html,WSON-8_L6.0-W5.0-P1.27-BL-EP,,,,
