Ref,Val,Package,PosX,PosY,Rot,Side
"R2","47","r_0402_nordic",13.2500,-16.7000,0.0000,top
"R3","0","r_0402_nordic",12.2500,-23.2000,-90.0000,top
"R4","10","r_0402_nordic",10.7500,-16.2000,-90.0000,top
"R5","10","r_0402_nordic",11.7500,-16.2000,-90.0000,top
"R6","0","r_0402_nordic",9.7500,-15.2000,90.0000,top
"R7","5.1k","r_0402_nordic",29.2500,-16.3662,90.0000,top
"R8","5.1k","r_0402_nordic",33.5000,-16.3663,0.0000,top
"R10","300k","r_0402_nordic",43.0000,-10.0001,-90.0000,top
"R11","300k","r_0402_nordic",42.2500,-10.0001,-90.0000,top
"R13","0","r_0402_nordic",46.3250,-21.3152,-90.0000,top
"R14","0","r_0402_nordic",44.2750,-21.2652,-90.0000,top
"R15","0","r_0402_nordic",54.5000,-19.9001,-90.0000,top
"R16","0","r_0402_nordic",47.4000,-22.4501,-90.0000,top
"R17","0","r_0402_nordic",55.7000,-12.1501,-90.0000,top
"R18","1Meg","r_0402_nordic",43.2500,46.9288,180.0000,top
"R19","100k","r_0402_nordic",41.0000,45.9288,0.0000,top
"R20","1Meg","r_0402_nordic",17.6500,-6.9000,90.0000,top
"R21","5.1k","r_0402_nordic",-11.9000,6.2400,0.0000,top
"R22","5.1k","r_0402_nordic",23.2500,-8.5000,0.0000,top
"R23","100k","r_0402_nordic",-14.1000,-23.2500,0.0000,top
"R24","1Meg","r_0402_nordic",32.0000,54.0000,-90.0000,top
"R25","0","r_0402_nordic",-11.9000,-3.0100,0.0000,top
"R26","1Meg","r_0402_nordic",35.7500,61.0000,180.0000,top
"R27","1Meg","r_0402_nordic",35.5000,57.2500,0.0000,top
"R28","100","r_0402_nordic",34.7500,56.2500,0.0000,top
"R29","100","r_0402_nordic",35.2400,55.2500,0.0000,top
"R30","5.1k","r_0402_nordic",49.0000,50.5000,-90.0000,top
"R31","100","r_0402_nordic",34.0000,57.7500,90.0000,top
"R32","100","r_0402_nordic",34.0000,59.7500,90.0000,top
"R33","R","l_0806_nordic",19.1500,-3.1500,180.0000,top
"R34","5.1k","r_0402_nordic",32.5000,5.5000,90.0000,top
"R35","5.1k","r_0402_nordic",33.5000,5.5000,90.0000,top
"R36","5.1k","r_0402_nordic",36.2500,3.2500,0.0000,top
"R37","100k","r_0402_nordic",47.6984,8.9910,90.0000,top
"R38","100k","r_0402_nordic",46.1250,6.6050,90.0000,top
"R39","100k","r_0402_nordic",45.3750,6.6050,90.0000,top
"R40","5.1k","r_0402_nordic",-18.0000,-1.2500,180.0000,top
"R41","5.1k","r_0402_nordic",-18.0000,-0.2500,180.0000,top
"R42","5.1k","r_0402_nordic",52.5000,15.2500,90.0000,top
"R44","0","r_0402_nordic",52.0000,16.5000,180.0000,top
"R45","100","r_0402_nordic",55.7500,22.9225,0.0000,top
"R46","1k","r_0402_nordic",55.7500,16.6725,180.0000,top
"R48","300k","r_0402_nordic",58.7500,18.1725,-90.0000,top
"R50","0","r_0402_nordic",49.5000,21.0000,0.0000,top
"R51","47k","r_0402_nordic",57.7500,22.9225,0.0000,top
"R52","30k","r_0603_nordic",58.7500,20.6725,-90.0000,top
"S1","Tactile Button, 160gf","SW_TS-1088-AR02016",-6.5000,-23.2500,0.0000,top
"SW1","ZX-QC66-8.5TP","KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5",28.2500,46.0000,90.0000,top
"SW2","ZX-QC66-8.5TP","KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5",28.2500,25.4000,-90.0000,top
"SW3","ZX-QC66-8.5TP","KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5",-21.5000,46.0000,90.0000,top
"SW4","ZX-QC66-8.5TP","KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5",-21.5000,25.4000,-90.0000,top
"TC2","TC2030-IDC","TC2030-IDC",52.7700,0.1150,0.0000,top
"U1","ME54BS13_V1.0","ME54BS13_V1.0",60.8000,-8.5000,-90.0000,top
"U2","AP3019AKTR","SOT-23-6",13.7500,-19.4500,-90.0000,top
"U3","FPC 0.5-10P HYH2.0","FPC-SMD_10P-P0.50_FPC-0.5-10P-HYH2.0",1.7500,-23.0950,180.0000,top
"U4","MT9700-N","SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL",20.4000,-9.4500,90.0000,top
"U5","${ALTIUM_VALUE}","Nordic_QFN50P500X500X90-33N",44.8000,-15.0501,180.0000,top
"U6","MT9700-N","SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL",48.0250,53.2462,0.0000,top
"U7","MAX98357AETE+T","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5",41.0000,49.0337,0.0000,top
"U8","S3B-PH-SM4-TB","CONN-SMD_S3B-PH-SM4-TB-LF-SN",-20.5000,-10.0000,90.0000,top
"U9","W25Q128JVPIQTR","WSON-8_L6.0-W5.0-P1.27-BL-EP",-13.2500,1.5000,180.0000,top
"U10","MF-NSMF200-2","F1206",-12.5500,-12.0000,180.0000,top
"U11","LIS2DW12TR","LGA-12_L2.0-W2.0-P0.50-BL",45.7500,9.0000,90.0000,top
"U12","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",52.5000,20.2500,90.0000,top
"U13","OPA333xxDBV","SOT-23-5",56.3600,20.1975,-90.0000,top
"U14","LMP91000SDX/NOPB","WSON-14_L4.0-W4.0-P0.50-BL-EP-1",45.7500,21.0000,-90.0000,top
